Follower,Location,Languages
tiendung,,"Java, Emacs Lisp, Perl, Vim Script, Swift, Ruby, Sass, Scheme, C, JavaScript, Nix, R, Module Management System, Cuda, PHP, HTML, M4, Dockerfile, Assembly, DIGITAL Command Language, C++, CSS, CLIPS, CMake, Ada, Groff, Jupyter Notebook, LLVM, Shell, Objective-C++, SAS, Python, Objective-C, Lua, Yacc, NSIS, Batchfile, Makefile, C#, Pascal"
iamdaiyuan,Beijing,"Java, Go, Swift, Ruby, C, JavaScript, Rust, FreeMarker, PHP, HTML, CSS, Roff, Shell, Objective-C++, Python, Objective-C, GLSL, Kotlin, Makefile"
renxing,Nantong,"Java, Go, SCSS, Vue, Swift, Starlark, Ruby, TypeScript, C, JavaScript, Rust, FreeMarker, ShaderLab, CoffeeScript, Dart, PHP, HTML, Dockerfile, C++, CSS, AIDL, CMake, Handlebars, EJS, Less, QMake, Shell, Objective-C++, Python, Smarty, Objective-C, Blade, GLSL, Groovy, Pug, Kotlin, Makefile, C#, HLSL"
justingrammens,"Saint Paul, MN","Java, Go, Perl, Swift, Ruby, Arduino, C, JavaScript, Mathematica, HTML, Logos, C++, CSS, Jupyter Notebook, Shell, Python, Objective-C, Groovy, Kotlin, Batchfile, Makefile"
hamiljs,"Bardstown, KY","Gherkin, Java, Go, HTML, Perl, PHP, Ruby, Jupyter Notebook, NSIS, Shell, Assembly, Makefile, C++, CSS, JavaScript, Python, C"
rajraj,"Southampton, UK","Go, Vim Script, Swift, Ruby, C, JavaScript, R, Dart, PHP, HTML, Dockerfile, Tcl, Assembly, CSS, Erlang, Jupyter Notebook, Shell, PowerShell, Python, Objective-C, Elixir, Kotlin, Batchfile, Makefile"
fantonio,São Paulo,"Objective-J, Java, Go, Vim Script, Ruby, C, JavaScript, PHP, HTML, M4, Dockerfile, Assembly, C++, CSS, Roff, HCL, Hack, VHDL, QMake, Shell, Objective-C++, PowerShell, Python, Objective-C, Groovy, Kotlin, C#, Makefile"
technohippy,"Tokyo, Japan","Go, Perl, SCSS, PostScript, Ruby, TypeScript, WebAssembly, C, JavaScript, OCaml, Common Lisp, R, Prolog, Dart, HTML, Dockerfile, Assembly, C++, CSS, Groff, TeX, Standard ML, Shell, MDX, PowerShell, Python, Objective-C, Visual Basic, Smalltalk, Nunjucks, GLSL, Batchfile, Makefile"
shaobin0604,Chengdu,"Java, HTML, IDL, Groovy, Kotlin, Shell, Makefile"
netzflechter,Munich,"Gherkin, HTML, Vim Script, Ruby, Shell, Makefile, CSS, JavaScript"
